Course	Code	CRN	Type	Dates	Days	Start	Finish	Room
MUSC	247	15592	L1-Tut	Trimester 2	R	19:10	22:00	MCLT102
MUSC	247	15592	L1-Tut	Week of 12 July	T	19:10	22:00	MCLT102
MUSC	264	15599	L1	Trimester 2	M	13:10	15:00	MUW1D16
MUSC	264	15599	L1	Trimester 2	R	14:10	15:00	MUW1D16
MUSC	264	15599	L1-Lab	Trimester 2	R	15:10	16:00	MUW1D16
MUSC	327	15640	L1	Trimester 2	T	11:00	13:50	MUW1D18
MUSC	337	15655	L1	Trimester 2	W	14:10	17:00	MS209
MUSC	344	15658	L1	Trimester 2	W	9:00	9:50	MS209
MUSC	344	15658	L1	Trimester 2	T	13:10	15:00	MS209
MUSC	345	15659	L1	Trimester 2	W	10:00	10:50	MS209
MUSC	345	15659	L1	Trimester 2	R	11:00	12:50	MS209
MUSC	350	15662	L1	Trimester 2	M	13:10	14:00	CO119
MUSC	350	15662	L1	Trimester 2	R	13:10	15:00	CO119
MUSC	SEM	0	L1	Trimester 1 + Trimester 2	M	16:10	18:00	MS209
 	 	 	 	 	 	 	 	 
NURS	510	8710	L3	Week of 16 August	WR	9:00	17:00	CS801
NURS	510	8710	L3	Week of 8 March	RF	9:00	17:00	CS802
NURS	511	14479	L1	Week of 10 May	WR	9:00	17:00	CS803
NURS	511	14479	L1	Week of 29 March	WR	9:00	17:00	CS803
NURS	515	3578	L2	Wks of 22Mar, 19Jul	WRF	9:00	17:00	CS801
NURS	518	7713	L1	Wks of 22Mar, 24May, 6Sep	MT	9:00	17:00	CS801
NURS	518	15442	L2	Week of 29 March	MT	9:00	17:00	CS801
NURS	518	15442	L2	Wks of 24May, 6Sep	RF	9:00	17:00	CS801
NURS	519	8707	L1	Week of 26 July	MTW	9:00	17:00	CS802
NURS	525	11367	L1	Week of 11 October	MT	9:00	17:00	CS801
NURS	532	17114	L1	Summer 2010/11 Wks of 15 Nov	MT	9:00	17:00	CS801
NURS	533	17115	L1	Week of 12 July	MTWR	9:00	17:00	CS801
NURS	539	9901	L1	Wks of 15Mar, 9Aug	WRF	9:00	17:00	CS802
NURS	550	17117	L1	Wks of 15Mar, 10May, 9Aug	MT	9:00	17:00	CS801
NURS	557	17102	L1	Week of 13 September	WR	9:00	17:00	CS801
NURS	557	17102	L1	Wks of 8 Mar,3May,19Jul	MT	9:00	17:00	CS801
NURS	558	17335	L2	Week of 13 September	WR	9:00	17:00	CS801
NURS	558	17335	L2	Wks of 8 Mar,3May,19Jul	MT	9:00	17:00	CS801
NURS	559	17104	L1	Week of 13 September	WR	9:00	17:00	CS802
NURS	559	17104	L1	Wks of 8 Mar,3May,19Jul	MT	9:00	17:00	CS802
NURS	560	17105	L1	Week of 13 September	WR	9:00	17:00	CS803
NURS	560	17105	L1	Wks of 8 Mar,3May,19Jul	MT	9:00	17:00	CS803
NURS	561	17106	L1	Week of 13 September	WR	9:00	17:00	CS801
NURS	561	17106	L1	Wks of 8 Mar,3May,19Jul	MT	9:00	17:00	CS801
NURS	566	17096	L1	Week of 13 September	WR	9:00	17:00	CS801
NURS	566	17096	L1	Wks of 8 Mar,3May,19Jul	MT	9:00	17:00	CS801
NURS	592	13064	L1	Week of 1 March	MTW	9:00	17:00	CS802
NURS	592	13064	L1	Week of 16 August	WRF	9:00	17:00	CS802
NURS	594	11371	L1	Week of 1 March	MTW	9:00	17:00	CS802
NURS	594	11371	L1	Week of 16 August	WRF	9:00	17:00	CS802
NURS	595	17137	L1	Wks of 8Mar, 23Aug	WR	9:00	17:00	CS801
NURS	690	932	L1	Wks of 12Apr, 20Sep	MTWR	9:00	17:00	CS801
 	 	 	 	 	 	 	 	 
NWEN	242	18316	L1	Trimester 2	TR	11:00	11:50	FT77LT306
NWEN	242	18316	L1	Trimester 2	F	11:00	11:50	COLT122
NWEN	302	17181	L1	Trimester 2	TRF	13:10	14:00	HMLT002
NWEN	402	18603	L1	Trimester 2	MRF	9:00	9:50	EA004
NWEN	402	 	L1-Lab	Trimester 2	M	15:10	18:00	CO246
NWEN	405	18606	L1	Trimester 2	TWR	11:00	11:50	AMLT105
 	 	 	 	 	 	 	 	 
NZSM	406	13768	L1	Trimester 2	R	10:00	10:50	MS301
NZSM	406	13768	L1	Trimester 2	M	9:00	10:50	MS301
NZSM	412	13918	L2	Trimester 1 + Trimester 2	W	10:00	11:50	MUW1C49
NZSM	418	13784	L1	Trimester 1 + Trimester 2	TR	15:10	18:00	MS301
NZSM	422	17342	L1	Trimester 2	M	11:00	11:50	MS209
NZSM	422	17342	L1	Trimester 2	W	11:00	12:50	MS209
NZSM	431	13790	L1	Trimester 2	W	9:00	9:50	MS209
NZSM	431	13790	L1	Trimester 2	T	13:10	15:00	MS209
NZSM	433	14288	L1	Trimester 2	R	11:00	12:50	MS209
NZSM	433	14288	L1	Trimester 2	W	10:00	10:50	MS209
NZSM	445	15766	L1	Trimester 2	W	14:10	17:00	MS209
NZSM	449	15774	L1	Trimester 2	T	11:00	13:50	MUW1D18
NZSM	453	13808	L1	Trimester 2	R	13:10	15:00	CO119
NZSM	453	13808	L1	Trimester 2	M	13:10	14:00	CO119
NZSM	521	14292	L1	Trimester 2	F	9:00	11:50	MUW1D11
NZSM	525	14297	L1	Trimester 2	F	13:30	16:30	MUW1D11
 	 	 	 	 	 	 	 	 
OPRE	352	949	L1	Trimester 2	MTWF	14:10	15:00	CO118
OPRE	456	8101	L1	Trimester 2	W	10:00	11:50	CO119
 	 	 	 	 	 	 	 	 
ORST	483	8104	L1	Trimester 2	M	14:10	15:00	AMLT105
ORST	483	8104	L1	Trimester 2	T	14:10	15:00	CO216
ORST	489	9004	L1	Trimester 1 + Trimester 2	R	12:00	12:50	CO228
 	 	 	 	 	 	 	 	 
PADM	507	10742	L2	Week of 6 September	TWRF	8:30	18:30	RWW501
 	 	 	 	 	 	 	 	 
PASI	101	9325	L2	Wks of 6 Dec - 13 Dec	MTWRF	9:00	9:50	MYLT102
PASI	201	8525	L1	Trimester 2	MR	14:10	15:00	KK202
PASI	201	8525	L1-Tut	Trimester 2 starts 2nd week	R	11:00	11:50	VZ105
PASI	202	10427	L1	Trimester 2	MW	10:00	10:50	MYLT101
PASI	302	10428	L1	Trimester 2	MW	14:10	16:00	KP06102
PASI	402	10429	L1	Trimester 2	MW	14:10	16:00	KP06102
PASI	402	10429	L1	Wks of 15Nov-13Dec	MW	14:10	16:00	MY806
PASI	403	18801	L2	Trimester 2	TF	12:00	13:50	KP06102
 	 	 	 	 	 	 	 	 
PERF	120	15611	L1	Trimester 1 + Trimester 2	F	9:00	10:50	MUW1D14
PERF	121	15613	L1 - A	Trimester 2	MR	11:00	12:50	MUW1C46
PERF	121	15613	L1 - B	Trimester 2	MR	13:10	15:00	MUW1C46
PERF	121	15613	L1 - V	Trimester 2	M	11:00	12:50	MUWHALL
PERF	122	15615	L1	Trimester 1 + Trimester 2	T	13:10	15:00	MUWHALL
PERF	122	15615	L1	Trimester 1 + Trimester 2	T	9:00	10:50	MUWHALL
PERF	134	15621	L1	Trimester 1 + Trimester 2	TR	15:10	18:00	MS301
PERF	135	15622	L1	Trimester 1 + Trimester 2	R	15:10	18:00	MS209
PERF	135	15622	L1	Trimester 2	W	11:00	12:50	MS301
PERF	136	15623	L1	Trimester 1 + Trimester 2	W	14:10	15:00	 
PERF	136	15623	L1	Trimester 1 + Trimester 2	M	14:10	16:00	MS209
PERF	220	15626	L1	Trimester 1 + Trimester 2	F	11:00	11:50	MUW1D14
PERF	222	15628	L1	Trimester 1 + Trimester 2	T	11:00	12:50	MUWHALL
PERF	222	15628	L1	Trimester 1 + Trimester 2	T	16:10	18:00	MUWHALL
PERF	223	15629	L1	Trimester 2	W	9:00	10:50	MUWHALL
PERF	223	15629	L1	Trimester 2	R	15:10	17:00	MUWHALL
PERF	234	15635	L1	Trimester 1 + Trimester 2	TR	15:10	18:00	MS301
PERF	235	15637	L1	Trimester 1 + Trimester 2	R	15:10	18:00	MS209
PERF	235	15637	L1	Trimester 2	W	11:00	12:50	MS301
PERF	236	15792	L1	Trimester 1 + Trimester 2	W	14:10	15:00	 
PERF	236	15792	L1	Trimester 1 + Trimester 2	M	14:10	16:00	MS209
PERF	252	18645	L1	Trimester 2	W	15:10	17:00	MS303
PERF	252	18645	L1	Trimester 2	F	15:10	16:00	MS303
PERF	320	15643	L1 - A	Trimester 1 + Trimester 2	W	11:00	12:50	MUW1C46
PERF	320	15643	L1 - B	Trimester 1 + Trimester 2	W	14:10	16:00	MUW1C46
PERF	320	15643	L1 - V	Trimester 1 + Trimester 2	W	11:00	12:50	MUW1C47
PERF	322	15644	L1	Trimester 1 + Trimester 2	M	14:10	18:00	MUW1C47
PERF	324	15645	L1	Trimester 2	W	9:00	10:50	MUW1C50
